# Country: United States
# State: CA
# County: Riverside
# Bands: 2m, 70cm
# Download Type: detailed
# Total Repeaters: 65
#
Downlink,Uplink,Offset,Uplink Tone,Downlink Tone,DMR,Color Code,DMR ID,SYSTEM FUSION,DG‑ID,WIRES‑X,County,Grid Square,Call,Use,Status,Sponsor,Affiliate,FM,EchoLink,Coordination,Updated,Reviewed,EchoLink Node,EchoLink Status,EchoLink Callsign,EchoLink Location,EchoLink Last Activity,IRLP,IRLP Node,IRLP Status,IRLP Last Activity,IRLP Callsign,IRLP Location,Notes
144.50500,145.10500,+0.600,100.0,,false,,,,,,Riverside,DM13mr,W6COH,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-707; Yes; Analog Capable: 25.0 kHz (wideband); Coming Up Over Keen Camp Crest Going West: spotty coverage at best.; Offset: +0.6 MHz; Location: Hemet, Simpson Park; Modes: FM; Tone Up: 100.0"
144.89500,145.49500,+0.600,156.7,156.7,false,,,,,,Riverside,,W6CDW,OPEN,,http://www.secretsquadronrc.com/,,25.0 kHz (wideband),348987,,,,348987,Error,,,,,,,,,,"Repeater Id: 06-10745; Yes; Analog Capable: 25.0 kHz (wideband); Offset: +0.6 MHz; Location: Lake Elsinore, Elsinore Peak; Modes: FM EchoLink; Tone Up: 156.7; Tone Down: 156.7"
144.93000,147.58500,+2.655,107.2,,false,,,,,,Riverside,,KD6QLT,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-379; Yes; Analog Capable: 25.0 kHz (wideband); Offset: +2.655 MHz; Location: Palm Springs; Modes: FM; Tone Up: 107.2
145.20000,144.60000,-0.600,131.8,131.8,false,,,,,,Riverside,DM13qt,W6DRA,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-377; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -0.6 MHz; Location: Palm Springs, Tram; Modes: FM; Tone Up: 131.8; Tone Down: 131.8"
145.34000,144.74000,-0.600,107.2,,false,,,,,,Riverside,DM13sn,N6MRN,OPEN,,,Mountain Radio Network MRN Repeaters,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-361; Yes; Analog Capable: 25.0 kHz (wideband); Links: Full-time to 447.48000 (N6MRN) at Pine Cove, CA; Offset: -0.6 MHz; Location: Santa Rosa Mtn; Modes: FM; Tone Up: 107.2"
145.42000,144.82000,-0.600,88.5,,false,,,,,,Riverside,DM13ms,K6LDF,OPEN,,Lee DeForest Amateur Radio Club,,25.0 kHz (wideband),3341,,,,3341,Error,,,,3341,3341,IDLE,,nN7ODN,,"Repeater Id: 06-371; Yes; Analog Capable: 25.0 kHz (wideband); Tue At 18: 00 Early Net, Tue at 19:15 Roster Net, Wed. 19:00 Digital Only Exp. 3rd Wed., Wed. at 21:00 ERC, Thu. at 19:00 ARES, Fri at 18:30 Elmer Hour.; Offset: -0.6 MHz; Location: Hemet, Hemet Valley Med Ctr; Modes: FM EchoLink IRLP; Tone Up: 88.5"
145.48000,144.88000,-0.600,107.2,107.2,false,,,,,,Riverside,DM13qt,W6DRA,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,3180,3180,IDLE,,nW6DRA,,"Repeater Id: 06-378; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -0.6 MHz; Location: Palm Springs, Tram; Modes: FM IRLP; Tone Up: 107.2; Tone Down: 107.2"
146.02500,146.62500,+0.600,107.2,,false,,,,,,Riverside,,NR6P,OPEN,,Coachella Valley ARC,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-366; Yes; Analog Capable: 25.0 kHz (wideband); Offset: +0.6 MHz; Location: Cactus City; Modes: FM; Tone Up: 107.2
146.11500,145.51500,-0.600,88.5,88.5,false,,,,,,Riverside,,KB6DMZ,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,Repeater Id: 06-19947; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -0.6 MHz; Location: Riverside; Modes: FM; Tone Up: 88.5; Tone Down: 88.5
146.61000,146.01000,-0.600,103.5,,false,,,,,,Riverside,DM13eu,KA6TBF,OPEN,,,,25.0 kHz (wideband),,,,,,,,,,,,,,,,"Repeater Id: 06-358; Yes; Analog Capable: 25.0 kHz (wideband); Offset: -0.6 MHz; Location: Corona, Sierra Peak; Modes: FM; Tone Up: 103.5"
